'DAY  D A J
ABOGADO'  Q A B O H A D O Q
ABOGASIYA  Q A B O H A S I J A
ABOGASIYA'  Q A B O H A S I J A Q
ABOGASYA  Q A B O H A SY A
ABOGASYA'  Q A B O H A SY A Q
ABOK  Q A B O K
ABOKADO  Q A B O K A D O
ABOKADO'  Q A B O K A D O Q
ABOLI  Q A B O L I
ABOLI'  Q A B O L I Q
ABOLISYON  Q A B O L I SY O N
ABOLISYONISTA  Q A B O L I SY O N I S T A
ABOLISYONISTA'  Q A B O L I SY O N I S T A Q
ABONADA  Q A B O N A D A
ABONADA'  Q A B O N A D A Q
ABONADO  Q A B O N A D O
ABONADO'  Q A B O N A D O Q
ABORSIYON  Q A B O DX S I J O N
ABORSIYONISTA  Q A B O DX S I J O N I S T A
ABORSIYONISTA'  Q A B O DX S I J O N I S T A Q
ABORSYONISTA  Q A B O DX SY O N I S T A
ABORSYONISTA'  Q A B O DX SY O N I S T A Q
ABOT  Q A B O T
ABOY  Q A B O J
ABRA  Q A B DX A
ABRA'  Q A B DX A Q
ABRASETE  Q A B DX A S E T E
ABRASETE'  Q A B DX A S E T E Q
ABRASIYETE  Q A B DX A S I J E T E
ABRASIYETE'  Q A B DX A S I J E T E Q
ABRASYETE  Q A B DX A SY E T E
ABRASYETE'  Q A B DX A SY E T E Q
ABRAZADO  Q A B DX A Z A D O
ABRAZADO'  Q A B DX A Z A D O Q
ABRELATA  Q A B DX E L A T A
ABRELATA'  Q A B DX E L A T A Q
ABRENICA  Q A B DX E N I K A
ABRENICA'  Q A B DX E N I K A Q
ABRIDOR  Q A B DX I D O DX
ABRIGO  Q A B DX I H O
ABRIGO'  Q A B DX I H O Q
ABRIL  Q A B DX I L
ABSIK  Q A B S I K
ABSOLUSYON  Q A B S O L U SY O N
ABSOLUTISMO  Q A B S O L U T I S M O
ABSOLUTISMO'  Q A B S O L U T I S M O Q
ABSUWELTO  Q A B S U W E L T O
ABSUWELTO'  Q A B S U W E L T O Q
ABUAB  Q A B U A B
ABUBOT  Q A B U B O T
ABUCAY  Q A B U K A J
ABUEG  Q A B U E G
ABUEL  Q A B U E L
ABUHAN  Q A B U HH A N
ABUHIN  Q A B U HH I N
ABUKADO  Q A B U K A D O
ABUKADO'  Q A B U K A D O Q
ABUKANIN  Q A B U K A N I N
ABUKAY  Q A B U K A J
ABULENCIA  Q A B U L E N SY A
ABULENCIA'  Q A B U L E N SY A Q
ABULOY  Q A B U L O J
ABULUYAN  Q A B U L U J A N
ABURAN  Q A B U DX A N
ABURIDO  Q A B U DX I D O
ABURIDO'  Q A B U DX I D O Q
ABUSADO  Q A B U S A D O
ABUSADO'  Q A B U S A D O Q
ABUSO  Q A B U S O
ABUSO'  Q A B U S O Q
ABUSUHIN  Q A B U S U HH I N
ABUTAB  Q A B U T A B
ABUTAN  Q A B U T A N
ABUTIN  Q A B U T I N
ABUTRA  Q A B U T DX A
ABUTRA'  Q A B U T DX A Q
ABUWAB  Q A B U W A B
ABWAB  Q A B W A B
ABYAD  Q A B J A D
ABYADOR  Q A B J A D O DX
ABYARIN  Q A B J A DX I N
ABYASYON  Q A B J A SY O N
ABYERTA  Q A B J E DX T A
ABYERTA'  Q A B J E DX T A Q
ABYERTO  Q A B J E DX T O
ABYERTO'  Q A B J E DX T O Q
ABYOG  Q A B J O G
ABYUGIN  Q A B J U H I N
ACADEMIA  Q A K A D E M I A
ACADEMIA'  Q A K A D E M I A Q
ACIERTO  Q A SY E DX T O
ACIERTO'  Q A SY E DX T O Q
ACLAN  Q A K L A N
ACOPIADO  Q A K O P I A D O
ACOPIADO'  Q A K O P I A D O Q
ACORDA  Q A K O DX D A
ACORDA'  Q A K O DX D A Q
ACOSTA  Q A K O S T A
ACOSTA'  Q A K O S T A Q
ACUZAR  Q A K U Z A DX
ACUNYA  Q A K U NY A
ACUNYA'  Q A K U NY A Q
ADA  Q A D A
ADA'  Q A D A Q
ADAJAR  Q A D A J A DX
ADAN  Q A D A N
ADBENTISTA  Q A D B E N T I S T A
ADBENTISTA'  Q A D B E N T I S T A Q
ADBERBIYO  Q A D B E DX B I J O
ADBERBIYO'  Q A D B E DX B I J O Q
ADBIYENTO  Q A D B I J E N T O
ADBIYENTO'  Q A D B I J E N T O Q
ADBOKASIYA  Q A D B O K A S I J A
ADBOKASIYA'  Q A D B O K A S I J A Q
ADELANTADO  Q A D E L A N T A D O
ADELANTADO'  Q A D E L A N T A D O Q
ADELANTO  Q A D E L A N T O
ADELANTO'  Q A D E L A N T O Q
ADELPA  Q A D E L P A
ADELPA'  Q A D E L P A Q
ADERS  Q A D E DX S
ADHIKA  Q A D HH I K A
ADHIKA'  Q A D HH I K A Q
ADHIKAIN  Q A D HH I K A Q I N
ADIDAS  Q A D I D A S
ADIK  Q A D I K
ADIKSIYON  Q A D I K S I J O N
ADIKSYON  Q A D I K SY O N
ADIKTO  Q A D I K T O
ADIKTO'  Q A D I K T O Q
ADISYON  Q A D I SY O N
ADISYONAL  Q A D I SY O N A L
ADISYUNAL  Q A D I SY U N A L
ADIYAW  Q A D I J A W
ADIYOS  Q A D I J O S
ADLAW  Q A D L A W
ADLAWAN  Q A D L A W A N
ADMINISTRADOR  Q A D M I N I S T DX A D O DX
ADMINISTRADORA  Q A D M I N I S T DX A D O DX A
ADMINISTRADORA'  Q A D M I N I S T DX A D O DX A Q
ADMINISTRASYON  Q A D M I N I S T DX A SY O N
ADMINISTRATIBO  Q A D M I N I S T DX A T I B O
ADMINISTRATIBO'  Q A D M I N I S T DX A T I B O Q
ADMIRAL  Q A D M I DX A L
ADMIRASYON  Q A D M I DX A SY O N
ADMISYON  Q A D M I SY O N
ADOBE  Q A D O B E
ADOBE'  Q A D O B E Q
ADOBO  Q A D O B O
ADOBO'  Q A D O B O Q
ADOPSIYON  Q A D O P S I J O N
ADOPSYON  Q A D O P SY O N
ADORADOR  Q A D O DX A D O DX
ADORNADO  Q A D O DX N A D O
ADORNADO'  Q A D O DX N A D O Q
ADORNO  Q A D O DX N O
ADORNO'  Q A D O DX N O Q
ADRES  Q A D DX E S
ADRIAS  Q A D DX I A S
ADULTO  Q A D U L T O
ADULTO'  Q A D U L T O Q
ADUWA  Q A D U W A
ADUWA'  Q A D U W A Q
ADUWANA  Q A D U W A N A
ADUWANA'  Q A D U W A N A Q
ADVINCULA  Q A D V I N K U L A
ADVINCULA'  Q A D V I N K U L A Q
ADWA  Q A D W A
ADWA'  Q A D W A Q
ADWANA  Q A D W A N A
ADWANA'  Q A D W A N A Q
ADYA  Q A DY A
ADYA'  Q A DY A Q
ADYAW  Q A DY A W
ADYENDA  Q A DY E N D A
ADYENDA'  Q A DY E N D A Q
ADYO  Q A DY O
ADYO'  Q A DY O Q
AGA  Q A H A
AGA'  Q A H A Q
AGAAS  Q A H A Q A S
AGAD  Q A H A D
AGAHAN  Q A H A HH A N
AGAHAS  Q A H A HH A S
AGALYA  Q A H A L J A
AGALYA'  Q A H A L J A Q
AGAM  Q A H A M
AGAMAHAN  Q A H A M A HH A N
AGAP  Q A H A P
AGAPAY  Q A H A P A J
AGARAN  Q A H A DX A N
AGAS  Q A H A S
AGATA  Q A H A T A
AGATA'  Q A H A T A Q
AGATAT  Q A H A T A T
AGATON  Q A H A T O N
AGATSONA  Q A H A TS O N A
AGATSONA'  Q A H A TS O N A Q
AGAW  Q A H A W
AGAWIN  Q A H A W I N
AGBAROG  Q A G B A DX O G
AGBARUGAN  Q A G B A DX U H A N
AGBAYANI  Q A G B A J A N I
AGBAYANI'  Q A G B A J A N I Q
AGBON  Q A G B O N
AGBUYA  Q A G B U J A
AGBUYA'  Q A G B U J A Q
AGCAOILI  Q A G K A O I L I
AGCAOILI'  Q A G K A O I L I Q
AGDANGAN  Q A G D A NG A N
AGHAM  Q A G HH A M
AGHAMBUHAY  Q A G HH A M B U HH A J
AGHAMWIKA  Q A G HH A M W I K A
AGHAMWIKA'  Q A G HH A M W I K A Q
AGHIMO  Q A G HH I M O
AGHIMO'  Q A G HH I M O Q
AGHIMUAN  Q A G HH I M U A N
AGHIMUIN  Q A G HH I M U I N
AGIHAP  Q A H I HH A P
AGILA  Q A H I L A
AGILA'  Q A H I L A Q
AGIMAT  Q A H I M A T
AGIMATAN  Q A H I M A T A N
AGINALDO  Q A H I N A L D O
AGINALDO'  Q A H I N A L D O Q
AGINGAY  Q A H I NG A J
AGIPO  Q A H I P O
AGIPO'  Q A H I P O Q
AGIW  Q A H I W
AGKAP  Q A G K A P
AGLAHI  Q A G L A HH I
AGLAHI'  Q A G L A HH I Q
AGLIPAY  Q A G L I P A J
AGNAS  Q A G N A S
AGNES  Q A G N E S
AGNOS  Q A G N O S
AGNOSTIKO  Q A G N O S T I K O
AGNOSTIKO'  Q A G N O S T I K O Q
AGOJO  Q A H O J O
AGOJO'  Q A H O J O Q
AGONG  Q A H O NG
AGOS  Q A H O S
AGOSTO  Q A H O S T O
AGOSTO'  Q A H O S T O Q
AGOY  Q A H O J
AGPANG  Q A G P A NG
AGPANGAN  Q A G P A NG A N
AGRABYADO  Q A G DX A B J A D O
AGRABYADO'  Q A G DX A B J A D O Q
AGREGADO  Q A G DX E H A D O
AGREGADO'  Q A G DX E H A D O Q
AGRESIBO  Q A G DX E S I B O
AGRESIBO'  Q A G DX E S I B O Q
AGRIKULTURA  Q A G DX I K U L T U DX A
AGRIKULTURA'  Q A G DX I K U L T U DX A Q
AGRIMENSOR  Q A G DX I M E N S O DX
AGSIKAP  Q A G S I K A P
AGSIKAPAN  Q A G S I K A P A N
AGTA  Q A G T A
AGTA'  Q A G T A Q
AGUADO  Q A H U A D O
AGUADO'  Q A H U A D O Q
AGUAS  Q A H U A S
AGUDA  Q A H U D A
AGUDA'  Q A H U D A Q
AGUHA  Q A H U HH A
AGUHA'  Q A H U HH A Q
AGUHILYA  Q A H U HH I L J A
AGUHILYA'  Q A H U HH I L J A Q
AGUHO  Q A H U HH O
AGUHO'  Q A H U HH O Q
AGUHON  Q A H U HH O N
AGUILA  Q A H I L A
AGUILA'  Q A H I L A Q
AGUILAR  Q A H I L A DX
AGUILERA  Q A H I L E DX A
AGUILERA'  Q A H I L E DX A Q
AGUINALDO  Q A H I N A L D O
AGUINALDO'  Q A H I N A L D O Q
AGUIRRE  Q A H I DX DX E
AGUIRRE'  Q A H I DX DX E Q
AGUJO  Q A H U J O
AGUJO'  Q A H U J O Q
AGULO  Q A H U L O
AGULO'  Q A H U L O Q
AGUNYAS  Q A H U N J A S
AGUSAN  Q A H U S A N
AGUSIL  Q A H U S I L
AGUSTIN  Q A H U S T I N
AGUSTINO  Q A H U S T I N O
AGUSTINO'  Q A H U S T I N O Q
AGWA  Q A G W A
AGWA'  Q A G W A Q
AGWAHAS  Q A G W A HH A S
AGWAHE  Q A G W A HH E
AGWAHE'  Q A G W A HH E Q
AGWAMARINA  Q A G W A M A DX I N A
AGWAMARINA'  Q A G W A M A DX I N A Q
AGWANTA  Q A G W A N T A
AGWANTA'  Q A G W A N T A Q
AGWARAS  Q A G W A DX A S
AGWARDIYENTE  Q A G W A DX D I J E N T E
AGWARDIYENTE'  Q A G W A DX D I J E N T E Q
AGWARDYENTE  Q A G W A DX DY E N T E
AGWARDYENTE'  Q A G W A DX DY E N T E Q
AGWAS  Q A G W A S
AGWASERO  Q A G W A S E DX O
AGWASERO'  Q A G W A S E DX O Q
AGWAT  Q A G W A T
AGWELA  Q A G W E L A
AGWELA'  Q A G W E L A Q
AGWELO  Q A G W E L O
AGWELO'  Q A G W E L O Q
AHANG  Q A HH A NG
AHAS  Q A HH A S
AHEDRES  Q A HH E D DX E S
AHENSIYA  Q A HH E N S I J A
AHENSIYA'  Q A HH E N S I J A Q
AHENSYA  Q A HH E N SY A
AHENSYA'  Q A HH E N SY A Q
AHENTE  Q A HH E N T E
AHENTE'  Q A HH E N T E Q
AHIT  Q A HH I T
AHITIN  Q A HH I T I N
AHIYA  Q A HH I J A
AHIYA'  Q A HH I J A Q
AHO  Q A HH O
AHO'  Q A HH O Q
AHON  Q A HH O N
AHUNIN  Q A HH U N I N
AIKIDO  Q A Q I K I D O
AIKIDO'  Q A Q I K I D O Q
AKADEMYA  Q A K A D E M J A
AKADEMYA'  Q A K A D E M J A Q
AKALA  Q A K A L A
AKALA'  Q A K A L A Q
AKAP  Q A K A P
AKASYA  Q A K A SY A
AKASYA'  Q A K A SY A Q
AKAWNT  Q A K A Q U N T
AKAWNTANT  Q A K A Q U N T A N T
AKAY  Q A K A J
AKAYIN  Q A K A J I N
AKBA  Q A K B A
AKBA'  Q A K B A Q
AKBAY  Q A K B A J
AKDA  Q A K D A
AKDA'  Q A K D A Q
AKIBAT  Q A K I B A T
AKIKO  Q A K I K O
AKIKO'  Q A K I K O Q
AKIN  Q A K I N
AKIT  Q A K I T
AKLAN  Q A K L A N
AKLAS  Q A K L A S
AKLAT  Q A K L A T
AKLATAN  Q A K L A T A N
AKMA  Q A K M A
AKMA'  Q A K M A Q
AKO  Q A K O
AKO'  Q A K O Q
AKOM  Q A K O M
AKOMPANYA  Q A K O M P A N J A
AKOMPANYA'  Q A K O M P A N J A Q
AKORDEON  Q A K O DX D E O N
AKREDITASYON  Q A K DX E D I T A SY O N
AKRONIM  Q A K DX O N I M
AKROSTIK  Q A K DX O S T I K
AKSAYA  Q A K S A J A
AKSAYA'  Q A K S A J A Q
AKSAYADO  Q A K S A J A D O
AKSAYADO'  Q A K S A J A D O Q
AKSES  Q A K S E S
AKSIBAL  Q A K S I B A L
AKSIDENTE  Q A K S I D E N T E
AKSIDENTE'  Q A K S I D E N T E Q
AKSIS  Q A K S I S
AKSIYON  Q A K S I J O N
AKSYON  Q A K SY O N
AKTIBIDAD  Q A K T I B I D A D
AKTIBIDADES  Q A K T I B I D A D E S
AKTIBISMO  Q A K T I B I S M O
AKTIBISMO'  Q A K T I B I S M O Q
AKTIBISTA  Q A K T I B I S T A
AKTIBISTA'  Q A K T I B I S T A Q
AKTIBO  Q A K T I B O
AKTIBO'  Q A K T I B O Q
AKTO  Q A K T O
AKTO'  Q A K T O Q
AKTOR  Q A K T O DX
AKTRES  Q A K T DX E S
AKTUWAL  Q A K T U W A L
AKTWAL  Q A K T W A L
AKUIN  Q A K U I N
AKUMULASYON  Q A K U M U L A SY O N
AKURDIYON  Q A K U DX D I J O N
AKUSA  Q A K U S A
AKUSA'  Q A K U S A Q
AKUSADO  Q A K U S A D O
AKUSADO'  Q A K U S A D O Q
AKUSASYON  Q A K U S A SY O N
AKWARELA  Q A K W A DX E L A
AKWARELA'  Q A K W A DX E L A Q
AKWARYO  Q A K W A DX J O
AKWARYO'  Q A K W A DX J O Q
AKWARYUM  Q A K W A DX J U M
AKWATIKO  Q A K W A T I K O
AKWATIKO'  Q A K W A T I K O Q
AKYAT  Q A K J A T
AKYATAN  Q A K J A T A N
AKYATIN  Q A K J A T I N
ALA  Q A L A
ALA'  Q A L A Q
ALAALA  Q A L A Q A L A
ALAALA'  Q A L A Q A L A Q
ALAB  Q A L A B
ALABAMA  Q A L A B A M A
ALABAMA'  Q A L A B A M A Q
ALABANG  Q A L A B A NG
ALABASTRO  Q A L A B A S T DX O
ALABASTRO'  Q A L A B A S T DX O Q
ALABAT  Q A L A B A T
ALABOK  Q A L A B O K
ALABWAB  Q A L A B W A B
ALAGA  Q A L A H A
ALAGA'  Q A L A H A Q
ALAGAD  Q A L A H A D
ALAGAW  Q A L A H A W
ALAHADO  Q A L A HH A D O
ALAHADO'  Q A L A HH A D O Q
ALAHAS  Q A L A HH A S
ALAHERO  Q A L A HH E DX O
ALAHERO'  Q A L A HH E DX O Q
ALAHIBI  Q A L A HH I B I
ALAHIBI'  Q A L A HH I B I Q
ALAK  Q A L A K
ALAKDAN  Q A L A K D A N
ALAKIBOT  Q A L A K I B O T
ALAKOS  Q A L A K O S
ALALA  Q A L A L A
ALALA'  Q A L A L A Q
ALALAHANIN  Q A L A L A HH A N I N
ALALAWA  Q A L A L A W A
ALALAWA'  Q A L A L A W A Q
ALALAY  Q A L A L A J
ALALAYAN  Q A L A L A J A N
ALAM  Q A L A M
ALAMAN  Q A L A M A N
ALAMANG  Q A L A M A NG
ALAMAT  Q A L A M A T
ALAMBRE  Q A L A M B DX E
ALAMBRE'  Q A L A M B DX E Q
ALAMBRERA  Q A L A M B DX E DX A
ALAMBRERA'  Q A L A M B DX E DX A Q
ALAMID  Q A L A M I D
ALAMIN  Q A L A M I N
ALAMINOS  Q A L A M I N O S
ALAMPAY  Q A L A M P A J
ALANDAHAW  Q A L A N D A HH A W
ALANGAANG  Q A L A NG A Q A NG
ALANGAN  Q A L A NG A N
ALANGANIN  Q A L A NG A N I N
ALANGILAN  Q A L A NG I L A N
ALAP  Q A L A P
ALAPAAP  Q A L A P A Q A P
ALAPAP  Q A L A P A P
ALAPAW  Q A L A P A W
ALARCON  Q A L A DX K O N
ALARMA  Q A L A DX M A
ALARMA'  Q A L A DX M A Q
ALASKA  Q A L A S K A
ALASKA'  Q A L A S K A Q
ALASKADOR  Q A L A S K A D O DX
ALAT  Q A L A T
ALATIIT  Q A L A T I Q I T
ALAY  Q A L A J
ALAYAN  Q A L A J A N
ALBA  Q A L B A
ALBA'  Q A L B A Q
ALBAHAKA  Q A L B A HH A K A
ALBAHAKA'  Q A L B A HH A K A Q
ALBAKORA  Q A L B A K O DX A
ALBAKORA'  Q A L B A K O DX A Q
ALBANO  Q A L B A N O
ALBANO'  Q A L B A N O Q
ALBANYA  Q A L B A N J A
ALBANYA'  Q A L B A N J A Q
ALBARIKOKE  Q A L B A DX I K O K E
ALBARIKOKE'  Q A L B A DX I K O K E Q
ALBAY  Q A L B A J
ALBERTO  Q A L B E DX T O
ALBERTO'  Q A L B E DX T O Q
ALBOROTO  Q A L B O DX O T O
ALBOROTO'  Q A L B O DX O T O Q
ALBULARYO  Q A L B U L A DX J O
ALBULARYO'  Q A L B U L A DX J O Q
ALBURNOS  Q A L B U DX N O S
ALCAIDE  Q A L K A Q I D E
ALCAIDE'  Q A L K A Q I D E Q
ALCALA  Q A L K A L A
ALCALA'  Q A L K A L A Q
ALCANTARA  Q A L K A N T A DX A
ALCANTARA'  Q A L K A N T A DX A Q
ALDABA  Q A L D A B A
ALDABA'  Q A L D A B A Q
ALDABIS  Q A L D A B I S
ALDANA  Q A L D A N A
ALDANA'  Q A L D A N A Q
ALDOVER  Q A L D O V E DX
ALDOVINO  Q A L D O V I N O
ALDOVINO'  Q A L D O V I N O Q
ALE  Q A L E
ALE'  Q A L E Q
ALEGADO  Q A L E H A D O
ALEGADO'  Q A L E H A D O Q
ALEGASYON  Q A L E H A SY O N
ALEGORIYA  Q A L E H O DX I J A
ALEGORIYA'  Q A L E H O DX I J A Q
ALEGORYA  Q A L E H O DX J A
ALEGORYA'  Q A L E H O DX J A Q
ALEGRE  Q A L E G DX E
ALEGRE'  Q A L E G DX E Q
ALEJANDRINO  Q A L E J A N D DX I N O
ALEJANDRINO'  Q A L E J A N D DX I N O Q
ALEJANDRO  Q A L E J A N D DX O
ALEJANDRO'  Q A L E J A N D DX O Q
ALELUYA  Q A L E L U J A
ALELUYA'  Q A L E L U J A Q
ALEMAN  Q A L E M A N
ALEMANYA  Q A L E M A N J A
ALEMANYA'  Q A L E M A N J A Q
ALEMBONG  Q A L E M B O NG
ALFARO  Q A L F A DX O
ALFARO'  Q A L F A DX O Q
ALFECHE  Q A L F E TS E
ALFECHE'  Q A L F E TS E Q
ALGODON  Q A L G O D O N
ALGUWASIL  Q A L G U W A S I L
ALHIBE  Q A L HH I B E
ALHIBE'  Q A L HH I B E Q
ALI  Q A L I
ALI'  Q A L I Q
ALIAGA  Q A L I A H A
ALIAGA'  Q A L I A H A Q
ALIBADBAD  Q A L I B A D B A D
ALIBANGBANG  Q A L I B A NG B A NG
ALIBARBAR  Q A L I B A DX B A DX
ALIBATA  Q A L I B A T A
ALIBATA'  Q A L I B A T A Q
ALIBUGHA  Q A L I B U G HH A
ALIBUGHA'  Q A L I B U G HH A Q
ALIBUKAY  Q A L I B U K A J
ALIBUTDAN  Q A L I B U T D A N
ALIBUTRAN  Q A L I B U T DX A N
ALICANTE  Q A L I K A N T E
ALICANTE'  Q A L I K A N T E Q
ALIGA  Q A L I H A
ALIGA'  Q A L I H A Q
ALIGAGA  Q A L I H A G A
ALIGAGA'  Q A L I H A G A Q
ALIGAMGAM  Q A L I H A M G A M
ALIGASIN  Q A L I H A S I N
ALIGI  Q A L I H I
ALIGI'  Q A L I H I Q
ALIGID  Q A L I H I D
ALIKABOK  Q A L I K A B O K
ALIKATE  Q A L I K A T E
ALIKATE'  Q A L I K A T E Q
ALIKMATA  Q A L I K M A T A
ALIKMATA'  Q A L I K M A T A Q
ALILA  Q A L I L A
ALILA'  Q A L I L A Q
ALILIS  Q A L I L I S
ALILISAN  Q A L I L I S A N
ALIMANGO  Q A L I M A NG O
ALIMANGO'  Q A L I M A NG O Q
ALIMASAG  Q A L I M A S A G
ALIMBUKAY  Q A L I M B U K A J
ALIMIS  Q A L I M I S
ALIMPAYAWAN  Q A L I M P A J A W A N
ALIMPUNGAT  Q A L I M P U NG A T
ALIMPUYO  Q A L I M P U J O
ALIMPUYO'  Q A L I M P U J O Q
